episode,reward,length
0,-9029.844327291336,1000
1,-10002.43963467761,1000
2,-7419.921342291824,1000
3,-7413.0911537590555,1000
4,-7423.451708753617,1000
5,-7417.16678011305,1000
6,-7408.930923710062,1000
7,-7411.630498140256,1000
8,-7412.62418723075,1000
9,-7408.746034495156,1000
10,-7410.7336104406095,1000
11,-7408.1130238964715,1000
12,-7413.835190676334,1000
13,-7419.16757081701,1000
14,-7414.103833050607,1000
15,-7408.5927188772475,1000
16,-7415.271143643695,1000
17,-7408.181884765884,1000
18,-7420.012040303261,1000
19,-7411.059388049887,1000
