step,q_value,critic_loss,actor_loss,exploration_noise,timestamp
0,-6.888299942016602,367.8399353027344,16.865245819091797,0.0995,2025-03-10 10:54:28
1000,-35.5428466796875,63.92984390258789,34.347537994384766,0.05,2025-03-10 10:55:22
2000,-52.014122009277344,128.79429626464844,50.78956985473633,0.05,2025-03-10 10:56:18
3000,-59.46353530883789,176.76422119140625,61.24489212036133,0.05,2025-03-10 10:57:15
4000,-69.28258514404297,306.8794860839844,68.62104797363281,0.05,2025-03-10 10:58:13
5000,-83.58998107910156,514.1921997070312,79.94087982177734,0.05,2025-03-10 10:59:10
6000,-94.82704162597656,302.92327880859375,94.71051788330078,0.05,2025-03-10 11:00:08
7000,-108.07041931152344,541.7198486328125,111.24417877197266,0.05,2025-03-10 11:01:03
8000,-121.9223403930664,335.599853515625,121.27225494384766,0.05,2025-03-10 11:02:03
9000,-125.01765441894531,299.9400634765625,125.91996002197266,0.05,2025-03-10 11:03:00
10000,-139.09878540039062,555.6170043945312,135.84332275390625,0.05,2025-03-10 11:03:59
11000,-144.3417510986328,323.3736572265625,141.29031372070312,0.05,2025-03-10 11:04:57
12000,-153.83245849609375,300.4989013671875,153.72909545898438,0.05,2025-03-10 11:05:58
13000,-150.26455688476562,397.59234619140625,150.46450805664062,0.05,2025-03-10 11:07:19
14000,-178.44798278808594,2378.1142578125,179.1453857421875,0.05,2025-03-10 11:08:42
15000,-186.15023803710938,2971.2744140625,181.89183044433594,0.05,2025-03-10 11:10:05
16000,-188.3564453125,895.9296875,190.08856201171875,0.05,2025-03-10 11:11:27
17000,-198.69686889648438,1769.969970703125,201.81170654296875,0.05,2025-03-10 11:12:29
18000,-208.3389129638672,1361.3048095703125,206.0674591064453,0.05,2025-03-10 11:13:30
19000,-216.6249542236328,592.2186279296875,217.83616638183594,0.05,2025-03-10 11:14:30
